,Localisation
 b_cerynia,"""Cerynia"""
 b_soli_CYP,"""Soli"""
 k_nikaea,"""Nikaea"""
 d_opsikion,"""Opsikion"""
 c_nikaea,"""Nikaea"""
 b_nikaea,"""Nikaea"""
 b_apemea,"""Apemea"""
 b_kyzikos,"""Kyzikos"""
 b_lopadion,"""Lopadion"""
 c_mysia,"""Mysia"""
 b_miletopolis,"""Miletopolis"""
 b_poimanenon,"""Poimanenon"""
 b_appollonia,"""Appollonia"""
 b_hadrianoi,"""Hadrianoi"""
 c_prusa,"""Prusa"""
 b_prusa,"""Prusa"""
 b_helge,"""Helge"""
 b_catyaeum,"""Catyaeum"""
 b_katyaion,"""Katyaion"""
 b_dabla,"""Dable"""
 c_phrygia,"""Phrygia"""
 b_gordium,"""Gordium"""
 b_oka,"""Oka"""
 b_soegud,"""Soegud"""
 b_dorylaion,"""Dorylaion"""
 b_midaeum_OPSI,"""Midaeum"""
 b_pessinus,"""Pessinus"""
 d_ephese,"""Ephesos"""
 c_ionia,"""Ionia"""
 b_smyrna,"""Smyrna"""
 b_halikarnassos,"""Halikarnassos"""
 b_iassus,"""Iassus"""
 b_miletus,"""Miletus"""
 b_ephesos,"""Ephesos"""
 b_lebedos,"""Lebedos"""
 c_aeolis,"""Aeolis"""
 b_phocaea,"""Phocaea"""
 b_pergamon,"""Pergamon"""
 b_adramyttium,"""Adramyttium"""
 d_thracesia,"""Thracesia"""
 c_lydia,"""Lydia"""
 b_philadelphia,"""Philadelphia"""
 b_sardes,"""Sardes"""
 b_akrainos,"""Akrainos"""
 b_bagis,"""Bagis"""
 b_silandos,"""Silandos"""
 b_sebaste,"""Sebaste"""
 c_thyatira,"""Thyatira"""
 b_thyatira,"""Thyatira"""
 b_attalia,"""Attalia"""
 b_synaos,"""Synaos"""
 b_tabala,"""Tabala"""
 c_hadrianeia,"""Hadrianeia"""
 b_hadrianeia,"""Hadrianeia"""
 b_cybele,"""Cybele"""
 b_cadi,"""Cado"""
 c_chonae,"""Chonae"""
 b_chonae,"""Chonae"""
 b_laodikeia,"""Laodikeia"""
 b_mylasa,"""Mylasa"""
 b_apamea,"""Apamea"""
 d_optimatoi,"""Optimatoi"""
 c_bithynia,"""Bithynia"""
 b_chalcedon,"""Chalcedon"""
 b_chelai,"""Chelai"""
 b_nikomedia,"""Nikomedia"""
 b_crius,"""Crius"""
 c_tarsos,"""Tarsos"""
 b_tarsos,"""Tarsos"""
 b_prusias_ad_hypium,"""Prusias ad Hypium"""
 b_modra,"""Modra"""
 d_bucellaria,"""Bucellaria"""
 c_honorias,"""Honorias"""
 b_herakleia,"""Herakleia"""
 b_claudiopolis,"""Claudiopolis"""
 b_boli,"""Boli"""
 b_cratea,"""Cratea"""
 c_galatia,"""Galatia"""
 b_ankyra,"""Ancyra"""
 b_vindia,"""Vindia"""
 b_papira,"""Papira"""
 b_gangra,"""Gangra"""
 b_ecobrogis,"""Ecobrogis"""
 b_tabia,"""Tabia"""
 c_hadrianopolis,"""Hadrianopolis"""
 b_hadrianopolis,"""Hadrianopolis"""
 b_krateia,"""Krateia"""
 b_iuliopolis,"""Iuliopolis"""
 b_lagania,"""Lagania"""
 k_anatolia,"""Anatolia"""
 d_cilicia,"""Cilicia"""
 c_cilicia,"""Cilicia"""
 b_tarsus,"""Tarsus"""
 b_adana,"""Adana"""
 b_mallus,"""Mallus"""
 b_anazaribus,"""Anazaribus"""
 b_faustinopolis,"""Faustionopolis"""
 b_podandus,"""Podandus"""
 c_seleucia,"""Seleucia"""
 b_seleukia,"""Seleucia"""
 b_corycus,"""Corycus"""
 b_claudiopolis_SELEUCIA,"""Claudiopolis"""
 c_lycandus,"""Lycandus"""
 b_lykandos,"""Lykandos"""
 b_comana_LYK,"""Comana"""
 b_arabissus,"""Arabissus"""
 b_cocussus,"""Cocussus"""
 c_tall_hamid,"""Tall Hamid"""
 b_tall_hamid,"""Tall Hamid"""
 b_al-haruniya,"""Al-Haruniya"""
 b_ayas,"""Ayas"""
 d_cibyrrhaeot,"""Cibyrrhaeot"""
 c_lycia,"""Lycia"""
 b_cremna,"""Cremna"""
 b_attaleia,"""Attaleia"""
 b_phaselis,"""Phaselis"""
 b_limyra,"""Limyra"""
 b_myra,"""Myra"""
 b_olbasa,"""Olbasa"""
 c_caria,"""Caria"""
 b_telmessos,"""Telmessos"""
 b_cibyra,"""Cibyra"""
 b_cridus,"""Cridus"""
 b_aphrodisias,"""Aphrodisias"""
 c_pamphylia,"""Pamphylia"""
 b_adrassos,"""Adrassos"""
 b_anemurium,"""Anemurium"""
 b_selinus,"""Selinus"""
 b_korakesion,"""Korakesion"""
 b_side,"""Side"""
 d_anatolia,"""Anatolia"""
 c_lycaonia,"""Lycaonia"""
 b_ikonion,"""Ikonion"""
 b_lystra,"""Lystra"""
 b_pappa,"""Pappa"""
 b_katakekaumene,"""Katakekaumene"""
 c_pacatiana,"""Pacatiana"""
 b_aezani,"""Aezani"""
 b_nakoleia,"""Nakoleia"""
 b_midaeum,"""Midaeum"""
 b_docimium,"""Docimium"""
 b_synnada,"""Synnada"""
 c_pisidia,"""Pisidia"""
 b_sozopolis,"""Sozopolis"""
 b_salda,"""Salda"""
 b_sagalassus,"""Sagalassus"""
 b_parlais,"""Parlais"""
 c_selge,"""Selge"""
 b_selge,"""Selge"""
 b_adada,"""Adada"""
 b_kaklouma,"""Kaklouma"""
 b_ouasada,"""Ouasada"""
 b_mistea,"""Mistea"""
 c_galatia_salutaris,"""Galatia Salutaris"""
 b_polybotus,"""Polybotus"""
 b_germa_anatolia,"""Germa"""
 b_tyraion,"""Tyraion"""
 c_philomelium,"""Philomelion"""
 b_philomelium,"""Philomelion"""
 b_amorion,"""Amorion"""
 b_antiochia,"""Antiochia"""
 b_neapolis,"""Neapolis"""
 c_isauria,"""Isauria"""
 b_isaura,"""Isaura"""
 b_laranalia,"""Laranalia"""
 b_soloi,"""Soloi"""
 b_derbe,"""Derbe"""
 b_barata,"""Barata"""
 d_cappadocia,"""Cappadocia"""
 c_cappadocia,"""Cappadocia"""
 b_tyana,"""Tyana"""
 b_comitanassus,"""Comitanassus"""
 b_garsaura,"""Garsaura"""
 b_nazianzus,"""Nazianzus"""
 b_cybistra,"""Cybistra"""
 c_lower_galatia,"""Lower Galatia"""
 b_parnassos,"""Parnassos"""
 b_aspona,"""Aspona"""
 b_kinna,"""Kinna"""
 d_charsianon,"""Charsianon"""
 c_charsianon,"""Charsianon"""
 b_charsianon,"""Charsianon"""
 b_therma,"""Therma"""
 b_euaissa,"""Euaissa"""
 b_galatia,"""Mocissus"""
 b_soanda,"""Soanda"""
 b_aspona_CHA,"""Aspona"""
 c_kaisereia,"""Kaisereia"""
 b_kaisereia,"""Kaisereia"""
 b_herpha,"""Herpha"""
 b_armaxa,"""Armaxa"""
 c_kyzistra,"""Kyzistra"""
 b_kyzistra,"""Kyzistra"""
 b_zeila_CHA,"""Zeila"""
 b_arasaxa,"""Arasaxa"""
 k_pontus,"""Pontus"""
 d_paphlagonia,"""Paphlagonia"""
 c_paphlagonia,"""Paphlagonia"""
 b_amastris,"""Amastris"""
 b_aigialos,"""Aigialos"""
 b_ionopolis,"""Ionopolis"""
 b_paphlagonia,"""Stephane"""
 c_pompeiopolis,"""Pompeiopolis"""
 b_pompeiopolis,"""Pompeiopolis"""
 b_castamon,"""Castamon"""
 b_ziporea,"""Ziporea"""
 b_kandara,"""Kandara"""
 d_armeniac,"""Armeniac"""
 c_helenopontus,"""Helenopontus"""
 b_amaseia,"""Amaseia"""
 b_gadilon,"""Gadilon"""
 b_amisos,"""Amisos"""
 b_magnopolis,"""Magnopolis"""
 b_carissa,"""Carissa"""
 c_sinope,"""Sinope"""
 b_sinope,"""Sinope"""
 b_zagora,"""Zagora"""
 b_andrapa,"""Andrapa"""
 c_euchaita,"""Euchaita"""
 b_euchaita,"""Euchaita"""
 b_pimolisa,"""Pimolisa"""
 b_pteria,"""Pteria"""
 c_zela,"""Zela"""
 b_comana_pontica,"""Comana Pontica"""
 b_zela,"""Zela"""
 b_agranai,"""Agranai"""
 d_sebasteia,"""Sebasteia"""
 c_sebasteia,"""Sebasteia"""
 b_sebasteia,"""Sebasteia"""
 b_sebastopolis,"""Sebastopolis"""
 b_pedachtoe,"""Pedachtoe"""
 b_malandra,"""Malandra"""
 c_azysia,"""Azysia"""
 b_karnalis,"""Karnalis"""
 b_euspena,"""Euspena"""
 b_gauraina,"""Gauraina"""
 b_tanadaris,"""Tanadaris"""
 b_dasmenda,"""Dasmenda"""
 c_ablastha,"""Ablastha"""
 b_ablastha,"""Ablastha"""
 b_dalanda,"""Dalanda"""
 b_osdara,"""Osdara"""
 d_chaldia,"""Chaldia"""
 c_trebizond,"""Trebizond"""
 b_trebizond,"""Trebizond"""
 b_rhizus,"""Rhizus"""
 b_hyspiratis,"""Hyspiratis"""
 b_baeberdon,"""Baeberdon"""
 b_keltzine,"""Keltzine"""
 c_cerasus,"""Cerasus"""
 b_cerasus,"""Cerasus"""
 b_oinaion,"""Oinaion"""
 b_polemonium,"""Polemonium"""
 b_koralla,"""Koralla"""
 c_colonea,"""Colonea"""
 b_colonea,"""Colonea"""
 b_neocaesara,"""Neocaesara"""
 b_sinoria,"""Sinoria"""
 b_hypseie,"""Hypseie"""
 b_nicopolis_ARM,"""Nicopolis"""
 c_satala,"""Satala"""
 b_satala,"""Satala"""
 b_kheranion,"""Kheranion"""
 b_kamisa,"""Kamisa"""
 b_tephrice,"""Tephrice"""
 k_armenia,"""Armenia"""
 d_mesopotamia,"""Mesopotamia"""
 c_theodosiopolis,"""Theodosiopolis"""
 b_theodosiopolis,"""Theodosiopolis"""
 b_speri,"""Speri"""
 b_martyropolis,"""Martyrpolis"""
 c_melitene,"""Melitene"""
 b_melitene,"""Melitene"""
 b_arguvan,"""Arguvan"""
 b_arsamosata,"""Arsamosata"""
 b_arca,"""Arca"""
 c_mesopotamia,"""Mesopotamia"""
 b_tzimisca,"""Tzimisca"""
 b_camacha,"""Camacha"""
 b_koloberd,"""Koloberd"""
 b_balu,"""Balu"""
 d_vaspurakan,"""Vaspurakan"""
 c_vaspurakan,"""Vaspurakan"""
 b_van,"""Van"""
 b_berkri,"""Berkri"""
 b_maku,"""Maku"""
 b_akhtamar,"""Akhtamar"""
 b_hadamakert,"""Hadamakert"""
 c_turuberan,"""Turuberan"""
 b_varto,"""Varto"""
 b_mardali,"""Mardali"""
 b_khinisi,"""Khinisi"""
 c_apahunik,"""Apahunik"""
 b_musch,"""Musch"""
 b_tatvan,"""Tatvan"""
 b_khlat,"""Khlat"""
 b_manzikert,"""Manzikert"""
 b_arjesh,"""Arjesh"""
 d_greater_armenia,"""Greater Armenia"""
 c_hayk,"""Hayk"""
 b_ani,"""Ani"""
 b_dlim,"""Dlim"""
 b_bagaran,"""Bagaran"""
 b_kumayri,"""Kumayri"""
 b_yerevan,"""Yerevan"""
 c_bagrewand,"""Bagrewand"""
 b_valashkert,"""Valashkert"""
 b_bagavan,"""Bagavan"""
 b_tsalakert,"""Tsalakert"""
 b_patnos,"""Patnos"""
 c_vanand,"""Vanand"""
 b_kars,"""Kars"""
 b_zariskat,"""Zariskat"""
 b_sevuki,"""Sevuki"""
 c_khachen,"""Khachen"""
 b_parnes,"""Parnes"""
 b_tovuz,"""Tovuz"""
 b_shamkur,"""Shamkur"""
 b_gardman,"""Gardman"""
 b_gandzasar,"""Gandzasar"""
 b_ktis,"""Ktis"""
 c_suenik,"""Suenik"""
 b_kapan,"""Kapan"""
 b_goris,"""Goris"""
 b_jugha,"""Jugha"""
 c_dvin,"""Dvin"""
 b_dvin,"""Dvin"""
 b_naxcivan,"""Naxcivan"""
 b_garni,"""Garni"""
 k_georgia,"""Georgia"""
 d_tao-klarjeti,"""Tao-Klarjeti"""
 c_tao,"""Tao"""
 b_tortomi,"""Tortomi"""
 b_taoskari,"""Taoskari"""
 b_oltisi,"""Oltisi"""
 c_klarjeti,"""Klarjeti"""
 b_arthanuji,"""Arthanuji"""
 b_tmogvi,"""Tmogvi"""
 b_akhaltsikhe,"""Akhaltsikhe"""
 b_artaani,"""Artaani"""
 c_kartli,"""Kartli"""
 b_uplistsikhe,"""Uplistsikhe"""
 b_tskhinvali,"""Tskhinvali"""
 b_gori,"""Gori"""
 c_acampse,"""Acampse"""
 b_archabis,"""Archabis"""
 b_petra,"""Petra"""
 d_abkhazia,"""Abkhazia"""
 c_abkhazia,"""Abkhazia"""
 b_tskhumi,"""Tskhumi"""
 b_nicopsia,"""Nicopsia"""
 b_bichvinta,"""Bichvinta"""
 b_anacopia,"""Anacopia"""
 c_odishi,"""Odishi"""
 b_kutaisi,"""Kutaisi"""
 b_gudakva,"""Gudakva"""
 b_seti,"""Seti"""
 b_zugdidi,"""Zugdidi"""
 b_tsageri,"""Tsageri"""
 c_svaneti,"""Svaneti"""
 b_kasriskari,"""Kasriskari"""
 b_ambrolauri,"""Ambrolauri"""
 b_kvara,"""Kvara"""
 c_guria,"""Guria"""
 b_batumi,"""Batumi"""
 b_poti,"""Poti"""
 b_vartsikhe,"""Vartsikhe"""
 b_shorapann,"""Shorapann"""
 d_georgia,"""Georgia"""
 c_tbilisi,"""Tbilisi"""
 b_tbilisi,"""Tbilisi"""
 b_dmanisi,"""Dmanisi"""
 b_rustavi,"""Rustavi"""
 c_lori,"""Lori"""
 b_lori,"""Lori"""
 b_bolnisi,"""Bolnisi"""
 b_kayan,"""Kayan"""
 c_kakheti,"""Kakheti"""
 b_telavi,"""Telavi"""
 b_nektesi,"""Nektesi"""
 b_mtskheta,"""Mtskheta"""
 b_gavazi,"""Gavazi"""
 b_kharnabuji,"""Kharnabuji"""
 b_ujarma,"""Ujarma"""
 c_hereti,"""Hereti"""
 b_zaqatala,"""Zaqatala"""
 b_ghisi,"""Ghisi"""
 b_dedoplitskhara,"""Dedoplitskhara"""
 b_nukhpata,"""Nukhpata"""
 k_sicily,"""Sicily"""
 d_sicily,"""Sicily"""
 c_palermo,"""Palermo"""
 b_palermo,"""Palermo"""
 b_trapani,"""Trapani"""
 b_calatafimi,"""Calatafimi"""
 b_mazara,"""Mazara"""
 c_messina,"""Messina"""
 b_messina,"""Messina"""
 b_cefalu,"""Cefalu"""
 b_catania,"""Catania"""
 c_siracusa,"""Siracusa"""
 b_syracusa,"""Syracusa"""
 b_lentini,"""Lentini"""
 b_caltagirone,"""Caltagirone"""
 c_agrigento,"""Agrigento"""
 b_agricento,"""Girgenti"""
 b_castrogiovanni,"""Castrogiovanni"""
 b_caltanisetta,"1 ""Caltanissetta"""
 c_malta,"""Malta"""
 b_malta,"""Malta"""
 d_benevento,"""Benevento"""
 c_benevento,"""Benevento"""
 b_benevento,"""Benevento"""
 b_alife,"""Alife"""
 b_isernia,"""Isernia"""
 b_melfi,"""Melfi"""
 c_foggia,"""Foggia"""
 b_lucera,"""Lucera"""
 b_larino,"""Larino"""
 d_capua,"""Capua"""
 c_capua,"""Capua"""
 b_capua,"""Capua"""
 b_gaeta,"""Gaeta"""
 b_cassino,"""Cassino"""
 c_napoli,"""Napoli"""
 b_napoli,"""Napoli"""
 b_amalfi,"""Amalfi"""
 d_apulia,"""Apulia"""
 c_apulia,"""Apulia"""
 b_trani,"""Trani"""
 b_siponto,"""Siponto"""
 b_venosa,"""Venosa"""
 b_acerenza,"""Acerenza"""
 c_bari,"""Bari"""
 b_bari,"""Bari"""
 b_matera,"""Matera"""
 b_taranto,"""Taranto"""
 c_lecce,"""Lecce"""
 b_brindisi,"""Brindisi"""
 b_orlanto,"""Orlanto"""
 d_salerno,"""Salerno"""
 c_salerno,"""Salerno"""
 b_salerno,"""Salerno"""
 b_maratea,"""Maratea"""
 b_potenza,"""Potenza"""
 c_camarda,"""Camarda"""
 b_camarda,"""Camarda"""
 b_stigliano,"""Stigliano"""
 d_calabria,"""Calabria"""
 c_reggio_calabria,"""Reggio Calabria"""
 b_reggio_calabria,"""Reggio Calabria"""
 b_squilluce,"""Squilluce"""
 c_cosenza,"""Cosenza"""
 b_cosenza,"""Cosenza"""
 b_castrovillari,"""Castrovillari"""
 c_rossano,"""Rossano"""
 b_rossano,"""Rossano"""
 b_cotrone,"1 ""Crotone"""
 k_venice,"""Venice"""
 d_venice,"""Venice"""
 c_venezia,"""Venezia"""
 b_venezia,"""Venezia"""
 c_veneto,"""Veneto"""
 b_mestre,"""Mestre"""
 b_chioggia,"""Chioggia"""
 k_armenian_principality,"""Armenian Principalities"""
 k_old_armenia,"""Old Armenia"""
 e_italy,"""Italia"""
 k_genoa,"""Genoa"""
 k_pisa,"""Pisa"""
 k_naples,"""Naples"""
 k_italy,"""Italy"""
 d_friuli,"""Friuli"""
 c_aquileia,"""Aquileia"""
 b_aquileia,"""Aquileia"""
 b_trieste,"""Trieste"""
 b_udine,"""Udine"""
 b_grado,"""Grado"""
 c_friuli,"""Friuli"""
 b_caorle,"""Caorle"""
 b_pordenone,"""Pordenone"""
 c_gorz,"""Görz"""
 b_gorizia,"""Gorizia"""
 b_triglavski,"1 ""Tricorno"""
 d_verona,"""Verona"""
 c_verona,"""Verona"""
 b_verona,"""Verona"""
 b_lessinia,"""Lessinia"""
 b_garda,"""Garda"""
 c_treviso,"""Treviso"""
 b_treviso,"""Treviso"""
 b_ceneta,"""Ceneta"""
 b_vicenza,"""Vicenza"""
 c_padua,"""Paduan"""
 b_padua,"""Padua"""
 b_lonigo,"""Lonigo"""
 b_montagnana,"""Montagnana"""
 c_polesine,"""Polesine"""
 b_rovigo,"""Rovigo"""
 b_adria,"""Adria"""
 d_piedmonte,"""Piedmonte"""
 c_monferrato,"""Monferrato"""
 b_asti,"""Asti"""
 b_alba_di_monferrato,"""Alba di Monferrato"""
 b_acqui,"""Acqui"""
 c_turin,"""Turin"""
 b_turin,"""Turin"""
 b_chieri,"""Chieri"""
 b_vercelli,"""Vercelli"""
 c_novara,"""Novara"""
 b_novara,"""Novara"""
 b_biella,"""Biella"""
 c_cuneo,"""Cuneo"""
 b_cuneo,"""Cuneo"""
 b_saluzzo,"""Saluzzo"""
 d_lombardia,"""Lombardy"""
 c_lombardia,"""Lombardia"""
 b_milano,"""Milano"""
 b_monza,"""Monza"""
 b_gallarate,"""Gallarate"""
 b_varese,"""Varese"""
 c_brescia,"""Brescia"""
 b_brescia,"""Brescia"""
 b_bergamo,"""Bergamo"""
 c_como,"""Como"""
 b_como,"""Como"""
 b_pombia,"""Pombia"""
 b_bellinzona,"""Bellinzona"""
 c_trent,"""Trent"""
 b_trento,"""Trento"""
 b_bolzano,"""Bolzano"""
 b_val_camonica,"""Val Camonica"""
 c_pavia,"""Pavia"""
 b_pavia,"""Pavia"""
 b_lodi,"""Lodi"""
 b_vigevano,"""Viegvano"""
 c_cremona,"""Cremona"""
 b_cremona,"""Cremona"""
 b_roncaglia,"""Roncaglia"""
 b_crema,"""Crema"""
 c_parma,"""Parma"""
 b_parma,"""Parma"""
 b_florentiola,"""Florentiola"""
 b_piacenza,"""Piacenza"""
 c_tortona,"""Tortona"""
 b_tortona,"""Tortona"""
 b_voghera,"""Voghera"""
 d_genoa,"""Genoa"""
 c_genoa,"""Genoa"""
 b_genoa,"""Genoa"""
 b_monaco,"""Monaco"""
 b_savona,"""Savona"""
 c_luni,"""Luni"""
 b_luni,"""Luni"""
 b_chiavari,"""Chiavari"""
 d_emilia,"""Emilia"""
 c_modena,"""Modena"""
 b_modena,"""Modena"""
 b_canossa,"""Canossa"""
 b_reggio_emilia,"""Reggio Emilia"""
 b_cento,"""Cento"""
 c_mantua,"""Mantua"""
 b_mantua,"""Mantua"""
 b_guastalla,"""Guastalla"""
 b_brescello,"""Brescello"""
 d_pisa,"""Pisa"""
 c_pisa,"""Pisa"""
 b_pisa,"""Pisa"""
 b_livorno,"""Livorno"""
 b_piombino,"""Piombino"""
 d_toscana,"""Tuscany"""
 c_firenze,"""Firenze"""
 b_firenze,"""Florence"""
 b_impruneta,"""Impruneta"""
 b_empoli,"""Empoli"""
 b_volterra,"""Volterra"""
 c_lucca,"""Lucca"""
 b_lucca,"""Lucca"""
 b_pistorja,"1 ""Pistoia"""
 b_prato,"""Prato"""
 c_arezzo,"""Arezzo"""
 b_arezzo,"""Arezzo"""
 b_vallombrosa,"""Vallombrosa"""
 c_siena,"""Siena"""
 b_siena,"""Siena"""
 b_montalcino,"""Montalcino"""
 b_chiusi,"""Chiusi"""
 b_cortona,"""Cortona"""
 c_orbetello,"""Orbetello"""
 b_orbetello,"""Orbetello"""
 b_soana,"""Soana"""
 b_grosseto,"""Grosseto"""
 k_sardinia,"""Sardinia"""
 d_corsica,"""Corsica"""
 c_ajaccio,"""Ajaccio"""
 b_ajaccio,"""Ajaccio"""
 b_calvi,"""Calvi"""
 c_bastia,"""Bastia"""
 b_bastia,"""Bastia"""
 b_corte,"""Corte"""
 c_vecchio,"""Vecchio"""
 b_bonifacio,"""Bonifacio"""
 b_vecchio,"""Vecchio"""
 d_sardinia,"""Sardinia"""
 c_cagliari,"""Cagliari"""
 b_cagliari,"""Cagliari"""
 b_iglesias,"""Iglesias"""
 b_samassi,"""Samassi"""
 c_arborea,"""Arborea"""
 b_oristano,"""Oristano"""
 b_isili,"""Isili"""
 c_gallura,"""Gallura"""
 b_olbia,"""Olbia"""
 b_galtelli,"""Galtelli"""
 c_logudoro,"""Logudoro"""
 b_sassari,"""Sassari"""
 b_alghero,"""Alghero"""
 b_porto_torres,"""Porto Torres"""
 b_ardara,"""Ardara"""
 c_tortoli,"""Tortoli"""
 b_tortoli,"""Tortoli"""
 b_carbonara,"""Carbonara"""
 k_romagna,"""Romagna"""
 d_romagna,"""Romagna"""
 c_ravenna,"""Ravenna"""
 b_ravenna,"""Ravenna"""
 b_imola,"""Imola"""
 b_forli,"""Forli"""
 b_rimini,"""Rimini"""
 c_bologna,"""Bologna"""
 b_bologna,"""Bologna"""
 b_cona,"""Cona"""
 b_monte_sole,"""Monte Sole"""
 c_ferrara,"""Ferrara"""
 b_ferrara,"""Ferrara"""
 b_pomposa,"""Pomposa"""
 b_comacchio,"""Comacchio"""
 c_casentino,"""Casentino"""
 b_casentino,"""Casentino"""
 b_montefeltro,"""Montefeltro"""
 b_camaldoli,"""Camaldoli"""
 d_ancona,"""Ancona"""
 c_ancona,"""Ancona"""
 b_ancona,"""Ancona"""
 b_cagli,"""Cagli"""
 b_gubbio,"""Gubbio"""
 b_camerino,"""Camerino"""
 c_urbino,"""Urbino"""
 b_urbino,"""Urbino"""
 b_civitas_castelli,"""Civitas Castelli"""
 b_pesaro,"""Pesaro"""
 c_fermo,"""Fermo"""
 b_fermo,"""Fermo"""
 b_ascoli_piceno,"""Ascoli Piceno"""
 b_macerata,"""Macerata"""
 d_spoleto,"""Spoleto"""
 c_spoleto,"""Spoleto"""
 b_spoleto,"""Spoleto"""
 b_assissi,"1 ""Assisi"""
 b_terni,"""Terni"""
 c_orvieto,"""Orvieto"""
 b_orvieto,"""Orvieto"""
 b_perugia,"""Perugia"""
 c_teramo,"""Teramo"""
 b_teramo,"""Teramo"""
 b_rieti,"""Rieti"""
 c_lanciano,"""Lanciano"""
 b_lanciano,"""Lanciano"""
 b_cluieli,"1 ""Chieti"""
 c_abruzzi,"""Abruzzi"""
 b_avezzano,"""Avezzano"""
 b_atri,"""Atri"""
 d_latium,"""Latium"""
 c_roma,"""Roma"""
 b_roma,"""Rome"""
 b_ostia,"""Ostia"""
 b_vaticano,"""Vaticano"""
 b_palo,"""Palo"""
 b_paterno,"""Paterno"""
 b_farfa,"""Farfa"""
 c_viterbo,"""Viterbo"""
 b_viterbo,"""Viterbo"""
 b_sutri,"""Sutri"""
 b_civitavecchia,"""Civitavecchia"""
 c_tivoli,"""Tivoli"""
 b_tivoli,"""Tivoli"""
 b_velletri,"""Velletri"""
 b_segni,"""Segni"""
 b_terracina,"""Terracina"""
 e_scandinavia,"""Scandinavia"""
 k_sweden,"""Sweden"""
 d_svealand,"1 ""Uppland"""
 c_upland,"""Upland"""
 b_sigtuna,"""Sigtuna"""
 b_uppsala,"""Uppsala"""
 b_enescopinge,"1 ""Enköping"""
 b_osthammar,"""Östhammar"""
 c_gastrikland,"""Gestrikalandia"""
 b_gavle,"""Gävle"""
 b_oklabo,"""Oklabo"""
 b_odmarden,"""Ödmården"""
 c_sodermannaland,"""Södermannaland"""
 b_strigines,"""Strigines"""
 b_talje,"""Tälje"""
 b_nykopung,"1 ""Nyköping"""
 b_sundby,"""Sundby"""
 b_birkevik,"""Birkevik"""
 c_aland,"""Aland"""
 b_sund,"""Sund"""
 b_jomala,"""Jomala"""
 d_bergslagen,"""Bergslagen"""
 c_vastmanland,"""Västmannaland"""
 b_vaestraaros,"""Västraaros"""
 b_arbuga,"1 ""Arboga"""
 b_skynzekkeberge,"""Skynzekkeberge"""
 b_fernabo,"""Fernabo"""
 c_varmland,"""Värmaland """
 b_tingvalla,"""Tingvalla"""
 b_friskdal,"""Friskdal"""
 b_vase,"""Väse"""
 b_farnebo,"""Färnebo"""
 c_dalarna,"1 ""Övre Dalarna"""
 b_mor,"""Morum"""
 b_molungr,"""Molungr"""
 b_orsa,"""Orsa"""
 b_lima,"""Lima"""
 c_dalabergslagen,"""Dalabergslagen"""
 b_falene,"""Falene"""
 b_norrbarke,"""Norrbärke"""
 b_henamorum,"""Henamorum"""
 b_leksand,"""Leksand"""
 d_vastergotland,"""Västergötland"""
 c_vastergotland,"""Västergötland"""
 b_lodose,"""Lödöse"""
 b_falkoping,"""Falköping"""
 b_kungahalla,"""Kongehelle"""
 b_opensten,"""Opensten"""
 b_kindaholm,"""Kindaholm"""
 c_skara,"""Skara"""
 b_lacko,"""Läckö"""
 b_skara,"""Skara"""
 b_varnhem,"""Varnhem"""
 c_dal,"""Dal"""
 b_dalaborg,"""Dalaborg"""
 b_tisselskog,"""Tisselskog"""
 c_nordmark,"""Nordmark"""
 b_nordmark,"""Nordmark"""
 b_josse,"""Jösse"""
 b_gillberg,"""Gillberg"""
 d_ostergotland,"1 ""Östergötland"""
 c_ostergotland,"""Östergötland"""
 b_sudherkopung,"1 ""Söderköping"""
 b_hamarkinda,"""Hamarkinda"""
 b_vreta,"""Vreta"""
 b_norrkoping,"""Norrköping"""
 c_kinda,"""Kinda"""
 b_liunga,"""Linuga"""
 b_skanninge,"""Skänninge"""
 b_grebo2,"""Grebo"""
 c_narke,"""Neeric"""
 b_orabro,"1 ""Örebro"""
 b_riseberga,"""Riseberga"""
 b_noraskog,"""Noraskog"""
 d_smaland,"""Småland"""
 c_more,"""Möre"""
 b_kalmar,"""Kalmar"""
 b_hogsby,"""Högsby"""
 b_torsas,"""Torsås"""
 c_sevede,"""Sevede"""
 b_stegholm,"""Stegholm"""
 b_hulingsryd,"""Hulingsryd"""
 b_vimmerby,"""Vimarby"""
 c_varend,"""Värend"""
 b_vaxjo,"""Växjö"""
 b_allbo,"""Allbo"""
 b_kinnevald,"""Kinnevald"""
 b_norrvidinge,"""Norrvidinge"""
 b_uppvidinge,"""Uppvidinge"""
 c_njudung,"""Njudung"""
 b_wisinghnso,"""Wisinghnsö"""
 b_jonkoping,"1 ""Jönköping"""
 b_hultaby,"""Hultaby"""
 b_eksjo,"""Eksjö"""
 c_finnveden,"""Finnveden"""
 b_warnnamo,"""Warnnamo"""
 b_liongby,"""Liongby"""
 c_oland,"""Öland"""
 b_borgholm,"""Borgholm"""
 b_eketorp,"""Eketorp"""
 d_norrland,"""Norrland"""
 c_halsingland,"""Halsingland"""
 b_norale,"""Norale"""
 b_baldanas,"""Baldanäs"""
 b_farila,"""Färila"""
 b_dilsbo,"""Dilsbo"""
 c_medelpad,"""Medelpad"""
 b_seilanger,"""Seilanger"""
 b_hafra,"""Hafrä"""
 b_lidh,"""Lidh"""
 b_hedanger,"""Hedanger"""
